instance;n_tests;total_exec
1;10;.82847857475280761
2;10;10.07287073135375971
3;10;24.56285858154296881
4;10;44.61593461036682121
5;10;65.18376827239990221
6;10;112.18013477325439571
7;10;146.28075146675109951
8;10;217.67530918121338061
9;10;804.00111937522888561
10;10;2938.67568993568420561
